MATERIAL,source,Banner,SRC_BAN_POS,Plan_Banner,Plan_Region,CL4Key,CL6Key,pos_date,Pos_Qty_EA,Pos_Sales,POS_QTY_CS,UBP,UNIT,FACTOR_EACH,PER_SALES_UOM_CASE,Complete_PPG,Total_Sales,Baseline_Qty,Baseline_Nps,ForecastDate,Incr_Sales,PromoId,InStoreStart,InStoreEnd,PromoDuration,MATERIALDESC,SUB_CATEGORY,SUB_CATEGORY_DESC,CATEGORY,CATEGORY_DESC,FGroup_Desc
12366119,Company A,Company A Super,2022-05-16,Company A Sup,QUEBEC,292279,292698,2022-05-16,10,44.9,0.666667,63.0,EA,1,15,Best Bundle,42.0,2,126.0,2022-05-16,-84.0,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-22,Company A Sup,QUEBEC,292279,292698,2022-05-22,12,53.88,0.8,63.0,EA,1,15,Best Bundle,50.4,2,126.0,2022-05-16,-75.6,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-19,Company A Sup,QUEBEC,292279,292698,2022-05-19,5,22.45,0.333333,63.0,EA,1,15,Best Bundle,21.0,2,126.0,2022-05-16,-105.0,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-17,Company A Sup,QUEBEC,292279,292698,2022-05-17,4,17.96,0.266667,63.0,EA,1,15,Best Bundle,16.8,2,126.0,2022-05-16,-109.2,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-29,Company A Sup,QUEBEC,292279,292698,2022-05-29,15,67.35,1.0,63.0,EA,1,15,Best Bundle,63.0,2,126.0,2022-05-23,-63.0,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-25,Company A Sup,QUEBEC,292279,292698,2022-05-25,7,31.43,0.466667,63.0,EA,1,15,Best Bundle,29.4,2,126.0,2022-05-23,-96.6,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-24,Company A Sup,QUEBEC,292279,292698,2022-05-24,3,13.47,0.2,63.0,EA,1,15,Best Bundle,12.6,2,126.0,2022-05-23,-113.4,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-26,Company A Sup,QUEBEC,292279,292698,2022-05-26,4,17.96,0.266667,63.0,EA,1,15,Best Bundle,16.8,2,126.0,2022-05-23,-109.2,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-28,Company A Sup,QUEBEC,292279,292698,2022-05-28,15,67.35,1.0,63.0,EA,1,15,Best Bundle,63.0,2,126.0,2022-05-23,-63.0,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
12366119,Company A,Company A Super,2022-05-23,Company A Sup,QUEBEC,292279,292698,2022-05-23,7,31.43,0.466667,63.0,EA,1,15,Best Bundle,29.4,2,126.0,2022-05-23,-96.6,1379912,2022-04-28,2022-06-01,35,STOUFFERS FIT WRAPS Teri Chkn 15x163g CA,CAKK1K128,FIT WRAPS,CAKK1,FROZEN MEALS,CEK - CA STFR FIT Wraps
